text,entities
"""Con tôi 15 tuổi bị rụng tóc và đau bụng dưới""","""[{""text"": ""15 tuổi"", ""label"": ""AGE"", ""start"": 8, ""end"": 15}, {""text"": ""rụng tóc"", ""label"": ""SYMPTOM"", ""start"": 19, ""end"": 27}, {""text"": ""rụng tóc"", ""label"": ""SYMPTOM"", ""start"": 19, ""end"": 27}, {""text"": ""đau bụng dưới"", ""label"": ""SYMPTOM"", ""start"": 31, ""end"": 44}, {""text"": ""đau bụng dưới"", ""label"": ""SYMPTOM"", ""start"": 31, ""end"": 44}]"""
"""Bệnh nhân 3 năm tuổi bị trầm cảm cần dùng simvastatin""","""[{""text"": ""3 năm tuổi"", ""label"": ""AGE"", ""start"": 10, ""end"": 20}, {""text"": ""trầm cảm"", ""label"": ""DISEASE"", ""start"": 24, ""end"": 32}, {""text"": ""simvastatin"", ""label"": ""MEDICATION"", ""start"": 42, ""end"": 53}]"""
"""Trẻ em 15 tháng tuổi bị ho khan 120/80 mmHg cần giảm cholesterol""","""[{""text"": ""15 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 20}, {""text"": ""ho khan"", ""label"": ""SYMPTOM"", ""start"": 24, ""end"": 31}, {""text"": ""120/80 mmHg"", ""label"": ""MEASUREMENT"", ""start"": 32, ""end"": 43}, {""text"": ""giảm cholesterol"", ""label"": ""INDICATION"", ""start"": 48, ""end"": 64}]"""
"""Trẻ em 6 tuổi bị chóng mặt 5.5 mmol/L cần hạ sốt""","""[{""text"": ""6 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 13}, {""text"": ""chóng mặt"", ""label"": ""SYMPTOM"", ""start"": 17, ""end"": 26}, {""text"": ""5.5 mmol/L"", ""label"": ""MEASUREMENT"", ""start"": 27, ""end"": 37}, {""text"": ""hạ sốt"", ""label"": ""INDICATION"", ""start"": 42, ""end"": 48}]"""
"""Cô ấy bị táo bón với amoxicillin và lisinopril""","""[{""text"": ""táo bón"", ""label"": ""SYMPTOM"", ""start"": 9, ""end"": 16}, {""text"": ""amoxicillin"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 32}, {""text"": ""amoxicillin"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 32}, {""text"": ""lisinopril"", ""label"": ""MEDICATION"", ""start"": 36, ""end"": 46}, {""text"": ""lisinopril"", ""label"": ""MEDICATION"", ""start"": 36, ""end"": 46}]"""
"""Ông ấy 28 tháng tuổi bị bệnh parkinson cần emergency""","""[{""text"": ""28 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 20}, {""text"": ""bệnh parkinson"", ""label"": ""DISEASE"", ""start"": 24, ""end"": 38}, {""text"": ""emergency"", ""label"": ""URGENCY"", ""start"": 43, ""end"": 52}]"""
"""Trẻ em 1 tuổi bị đau cơ 38.5 độ C cần chống viêm""","""[{""text"": ""1 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 13}, {""text"": ""đau cơ"", ""label"": ""SYMPTOM"", ""start"": 17, ""end"": 23}, {""text"": ""38.5 độ C"", ""label"": ""MEASUREMENT"", ""start"": 24, ""end"": 33}, {""text"": ""chống viêm"", ""label"": ""INDICATION"", ""start"": 38, ""end"": 48}]"""
"""Chị ấy 90 tuổi cho con bú bị khó thở""","""[{""text"": ""90 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""cho con bú"", ""label"": ""CONDITION"", ""start"": 15, ""end"": 25}, {""text"": ""khó thở"", ""label"": ""SYMPTOM"", ""start"": 29, ""end"": 36}]"""
"""Sử dụng thuốc giảm đau 2 ống trước ăn""","""[{""text"": ""thuốc giảm đau"", ""label"": ""MEDICATION"", ""start"": 8, ""end"": 22}, {""text"": ""2 ống"", ""label"": ""DOSAGE"", ""start"": 23, ""end"": 28}, {""text"": ""trước ăn"", ""label"": ""TIMING"", ""start"": 29, ""end"": 37}]"""
"""khàn tiếng kèm theo ho có đờm từ 5 ngày""","""[{""text"": ""khàn tiếng"", ""label"": ""SYMPTOM"", ""start"": 0, ""end"": 10}, {""text"": ""khàn tiếng"", ""label"": ""SYMPTOM"", ""start"": 0, ""end"": 10}, {""text"": ""ho có đờm"", ""label"": ""SYMPTOM"", ""start"": 20, ""end"": 29}, {""text"": ""ho có đờm"", ""label"": ""SYMPTOM"", ""start"": 20, ""end"": 29}, {""text"": ""5 ngày"", ""label"": ""DURATION"", ""start"": 33, ""end"": 39}]"""
"""Sử dụng furosemide 400mg trước ăn""","""[{""text"": ""furosemide"", ""label"": ""MEDICATION"", ""start"": 8, ""end"": 18}, {""text"": ""400mg"", ""label"": ""DOSAGE"", ""start"": 19, ""end"": 24}, {""text"": ""trước ăn"", ""label"": ""TIMING"", ""start"": 25, ""end"": 33}]"""
"""Trẻ em 55 tháng tuổi bị sốt cao 180 mg/dl cần dị ứng""","""[{""text"": ""55 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 20}, {""text"": ""sốt cao"", ""label"": ""SYMPTOM"", ""start"": 24, ""end"": 31}, {""text"": ""180 mg/dl"", ""label"": ""MEASUREMENT"", ""start"": 32, ""end"": 41}, {""text"": ""dị ứng"", ""label"": ""INDICATION"", ""start"": 46, ""end"": 52}]"""
"""phù chân kèm theo chảy nước mũi từ 3 ngày""","""[{""text"": ""phù chân"", ""label"": ""SYMPTOM"", ""start"": 0, ""end"": 8}, {""text"": ""phù chân"", ""label"": ""SYMPTOM"", ""start"": 0, ""end"": 8}, {""text"": ""chảy nước mũi"", ""label"": ""SYMPTOM"", ""start"": 18, ""end"": 31}, {""text"": ""chảy nước mũi"", ""label"": ""SYMPTOM"", ""start"": 18, ""end"": 31}, {""text"": ""3 ngày"", ""label"": ""DURATION"", ""start"": 35, ""end"": 41}]"""
"""Bà ngoại 50 tháng tuổi bị tim đập nhanh ở tay""","""[{""text"": ""50 tháng tuổi"", ""label"": ""AGE"", ""start"": 9, ""end"": 22}, {""text"": ""tim đập nhanh"", ""label"": ""SYMPTOM"", ""start"": 26, ""end"": 39}, {""text"": ""tay"", ""label"": ""BODY_PART"", ""start"": 42, ""end"": 45}]"""
"""Tôi 12 tháng tuổi bị đau đầu một bên""","""[{""text"": ""12 tháng tuổi"", ""label"": ""AGE"", ""start"": 4, ""end"": 17}, {""text"": ""đau đầu một bên"", ""label"": ""SYMPTOM"", ""start"": 21, ""end"": 36}]"""
"""Ông ấy 15 tuổi bị ung thư phổi cần emergency""","""[{""text"": ""15 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""ung thư phổi"", ""label"": ""DISEASE"", ""start"": 18, ""end"": 30}, {""text"": ""emergency"", ""label"": ""URGENCY"", ""start"": 35, ""end"": 44}]"""
"""Chị ấy 75 tuổi tiền sử dị ứng bị đau đầu dữ dội""","""[{""text"": ""75 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""tiền sử dị ứng"", ""label"": ""CONDITION"", ""start"": 15, ""end"": 29}, {""text"": ""đau đầu dữ dội"", ""label"": ""SYMPTOM"", ""start"": 33, ""end"": 47}]"""
"""Chị ấy 12 tuổi suy thận bị ho khan""","""[{""text"": ""12 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""suy thận"", ""label"": ""CONDITION"", ""start"": 15, ""end"": 23}, {""text"": ""ho khan"", ""label"": ""SYMPTOM"", ""start"": 27, ""end"": 34}]"""
"""Bệnh nhân 25 tháng tuổi bị viêm da cơ địa cần dùng thuốc giảm đau""","""[{""text"": ""25 tháng tuổi"", ""label"": ""AGE"", ""start"": 10, ""end"": 23}, {""text"": ""viêm da cơ địa"", ""label"": ""DISEASE"", ""start"": 27, ""end"": 41}, {""text"": ""thuốc giảm đau"", ""label"": ""MEDICATION"", ""start"": 51, ""end"": 65}]"""
"""Bị chóng mặt từ từ sáng đến giờ""","""[{""text"": ""chóng mặt"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 12}, {""text"": ""từ sáng đến giờ"", ""label"": ""DURATION"", ""start"": 16, ""end"": 31}]"""
"""Bệnh nhân 55 tháng tuổi bị tăng huyết áp cần dùng paracetamol""","""[{""text"": ""55 tháng tuổi"", ""label"": ""AGE"", ""start"": 10, ""end"": 23}, {""text"": ""tăng huyết áp"", ""label"": ""DISEASE"", ""start"": 27, ""end"": 40}, {""text"": ""paracetamol"", ""label"": ""MEDICATION"", ""start"": 50, ""end"": 61}]"""
"""Chị ấy 45 tuổi bệnh nền bị đau lưng mãn tính""","""[{""text"": ""45 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""bệnh nền"", ""label"": ""CONDITION"", ""start"": 15, ""end"": 23}, {""text"": ""đau lưng mãn tính"", ""label"": ""SYMPTOM"", ""start"": 27, ""end"": 44}]"""
"""Sử dụng azithromycin 250mg lúc sáng sớm""","""[{""text"": ""azithromycin"", ""label"": ""MEDICATION"", ""start"": 8, ""end"": 20}, {""text"": ""250mg"", ""label"": ""DOSAGE"", ""start"": 21, ""end"": 26}, {""text"": ""lúc sáng sớm"", ""label"": ""TIMING"", ""start"": 27, ""end"": 39}]"""
"""Dùng insulin 1mg hai lần một ngày""","""[{""text"": ""insulin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 12}, {""text"": ""1mg"", ""label"": ""DOSAGE"", ""start"": 13, ""end"": 16}, {""text"": ""hai lần một ngày"", ""label"": ""FREQUENCY"", ""start"": 17, ""end"": 33}]"""
"""Ông ấy 20 tuổi bị viêm dạ dày cần cần điều trị ngay""","""[{""text"": ""20 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""viêm dạ dày"", ""label"": ""DISEASE"", ""start"": 18, ""end"": 29}, {""text"": ""cần điều trị ngay"", ""label"": ""URGENCY"", ""start"": 34, ""end"": 51}]"""
"""Thuốc paracetamol 1 viên khi cần thiết khi đau""","""[{""text"": ""paracetamol"", ""label"": ""MEDICATION"", ""start"": 6, ""end"": 17}, {""text"": ""1 viên"", ""label"": ""DOSAGE"", ""start"": 18, ""end"": 24}, {""text"": ""khi cần thiết"", ""label"": ""FREQUENCY"", ""start"": 25, ""end"": 38}, {""text"": ""khi đau"", ""label"": ""TIMING"", ""start"": 39, ""end"": 46}]"""
"""Trẻ em 50 tuổi bị đau bụng dưới 140/90 mmHg cần giảm cholesterol""","""[{""text"": ""50 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""đau bụng dưới"", ""label"": ""SYMPTOM"", ""start"": 18, ""end"": 31}, {""text"": ""140/90 mmHg"", ""label"": ""MEASUREMENT"", ""start"": 32, ""end"": 43}, {""text"": ""giảm cholesterol"", ""label"": ""INDICATION"", ""start"": 48, ""end"": 64}]"""
"""Trẻ em 80 tuổi bị đau đầu một bên 120/80 mmHg cần kiểm soát đường huyết""","""[{""text"": ""80 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""đau đầu một bên"", ""label"": ""SYMPTOM"", ""start"": 18, ""end"": 33}, {""text"": ""120/80 mmHg"", ""label"": ""MEASUREMENT"", ""start"": 34, ""end"": 45}, {""text"": ""kiểm soát đường huyết"", ""label"": ""INDICATION"", ""start"": 50, ""end"": 71}]"""
"""Ông ấy 6 tuổi bị trầm cảm cần khẩn cấp""","""[{""text"": ""6 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 13}, {""text"": ""trầm cảm"", ""label"": ""DISEASE"", ""start"": 17, ""end"": 25}, {""text"": ""khẩn cấp"", ""label"": ""URGENCY"", ""start"": 30, ""end"": 38}]"""
"""Uống simvastatin 400mg để kiểm soát đường huyết""","""[{""text"": ""simvastatin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 16}, {""text"": ""400mg"", ""label"": ""DOSAGE"", ""start"": 17, ""end"": 22}, {""text"": ""kiểm soát đường huyết"", ""label"": ""INDICATION"", ""start"": 26, ""end"": 47}]"""
"""Ông ấy 10 tuổi bị viêm da cơ địa cần cần điều trị ngay""","""[{""text"": ""10 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""viêm da cơ địa"", ""label"": ""DISEASE"", ""start"": 18, ""end"": 32}, {""text"": ""cần điều trị ngay"", ""label"": ""URGENCY"", ""start"": 37, ""end"": 54}]"""
"""Cô ấy 8 tuổi bị cao huyết áp mãn tính""","""[{""text"": ""8 tuổi"", ""label"": ""AGE"", ""start"": 6, ""end"": 12}, {""text"": ""cao huyết áp"", ""label"": ""DISEASE"", ""start"": 16, ""end"": 28}, {""text"": ""mãn tính"", ""label"": ""SEVERITY"", ""start"": 29, ""end"": 37}]"""
"""Dùng atorvastatin 3 viên liên tục""","""[{""text"": ""atorvastatin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 17}, {""text"": ""3 viên"", ""label"": ""DOSAGE"", ""start"": 18, ""end"": 24}, {""text"": ""liên tục"", ""label"": ""FREQUENCY"", ""start"": 25, ""end"": 33}]"""
"""Trẻ em 50 tuổi bị khó thở về đêm 120/80 mmHg cần chống viêm""","""[{""text"": ""50 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""khó thở về đêm"", ""label"": ""SYMPTOM"", ""start"": 18, ""end"": 32}, {""text"": ""120/80 mmHg"", ""label"": ""MEASUREMENT"", ""start"": 33, ""end"": 44}, {""text"": ""chống viêm"", ""label"": ""INDICATION"", ""start"": 49, ""end"": 59}]"""
"""Dùng aspirin 3 viên mỗi 8 giờ""","""[{""text"": ""aspirin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 12}, {""text"": ""3 viên"", ""label"": ""DOSAGE"", ""start"": 13, ""end"": 19}, {""text"": ""mỗi 8 giờ"", ""label"": ""FREQUENCY"", ""start"": 20, ""end"": 29}]"""
"""Bà ngoại 85 tuổi bị đau đầu một bên ở tai""","""[{""text"": ""85 tuổi"", ""label"": ""AGE"", ""start"": 9, ""end"": 16}, {""text"": ""đau đầu một bên"", ""label"": ""SYMPTOM"", ""start"": 20, ""end"": 35}, {""text"": ""tai"", ""label"": ""BODY_PART"", ""start"": 38, ""end"": 41}]"""
"""Thuốc kháng sinh 1 viên ba lần một ngày trước ăn""","""[{""text"": ""kháng sinh"", ""label"": ""MEDICATION"", ""start"": 6, ""end"": 16}, {""text"": ""1 viên"", ""label"": ""DOSAGE"", ""start"": 17, ""end"": 23}, {""text"": ""ba lần một ngày"", ""label"": ""FREQUENCY"", ""start"": 24, ""end"": 39}, {""text"": ""trước ăn"", ""label"": ""TIMING"", ""start"": 40, ""end"": 48}]"""
"""Trẻ em 20 tháng tuổi bị mệt mỏi 120/80 mmHg cần an thần""","""[{""text"": ""20 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 20}, {""text"": ""mệt mỏi"", ""label"": ""SYMPTOM"", ""start"": 24, ""end"": 31}, {""text"": ""120/80 mmHg"", ""label"": ""MEASUREMENT"", ""start"": 32, ""end"": 43}, {""text"": ""an thần"", ""label"": ""INDICATION"", ""start"": 48, ""end"": 55}]"""
"""Ông ấy 50 tháng tuổi bị loãng xương cần cần điều trị ngay""","""[{""text"": ""50 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 20}, {""text"": ""loãng xương"", ""label"": ""DISEASE"", ""start"": 24, ""end"": 35}, {""text"": ""cần điều trị ngay"", ""label"": ""URGENCY"", ""start"": 40, ""end"": 57}]"""
"""Bị đau khớp từ mấy ngày nay""","""[{""text"": ""đau khớp"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 11}, {""text"": ""mấy ngày nay"", ""label"": ""DURATION"", ""start"": 15, ""end"": 27}]"""
"""Con tôi 2 tuổi bị ho khan và đau khớp""","""[{""text"": ""2 tuổi"", ""label"": ""AGE"", ""start"": 8, ""end"": 14}, {""text"": ""ho khan"", ""label"": ""SYMPTOM"", ""start"": 18, ""end"": 25}, {""text"": ""ho khan"", ""label"": ""SYMPTOM"", ""start"": 18, ""end"": 25}, {""text"": ""đau khớp"", ""label"": ""SYMPTOM"", ""start"": 29, ""end"": 37}, {""text"": ""đau khớp"", ""label"": ""SYMPTOM"", ""start"": 29, ""end"": 37}]"""
"""Cô ấy 30 tháng tuổi bị bệnh parkinson vừa phải""","""[{""text"": ""30 tháng tuổi"", ""label"": ""AGE"", ""start"": 6, ""end"": 19}, {""text"": ""bệnh parkinson"", ""label"": ""DISEASE"", ""start"": 23, ""end"": 37}, {""text"": ""vừa phải"", ""label"": ""SEVERITY"", ""start"": 38, ""end"": 46}]"""
"""Uống insulin 2 ống để giảm đau""","""[{""text"": ""insulin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 12}, {""text"": ""2 ống"", ""label"": ""DOSAGE"", ""start"": 13, ""end"": 18}, {""text"": ""giảm đau"", ""label"": ""INDICATION"", ""start"": 22, ""end"": 30}]"""
"""Sử dụng amlodipine 400mg trước khi ngủ""","""[{""text"": ""amlodipine"", ""label"": ""MEDICATION"", ""start"": 8, ""end"": 18}, {""text"": ""400mg"", ""label"": ""DOSAGE"", ""start"": 19, ""end"": 24}, {""text"": ""trước khi ngủ"", ""label"": ""TIMING"", ""start"": 25, ""end"": 38}]"""
"""Uống doxycycline 1 viên để chống viêm""","""[{""text"": ""doxycycline"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 16}, {""text"": ""1 viên"", ""label"": ""DOSAGE"", ""start"": 17, ""end"": 23}, {""text"": ""chống viêm"", ""label"": ""INDICATION"", ""start"": 27, ""end"": 37}]"""
"""Bị lo âu ở khớp vai từ mấy ngày nay""","""[{""text"": ""lo âu"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 8}, {""text"": ""khớp vai"", ""label"": ""BODY_PART"", ""start"": 11, ""end"": 19}, {""text"": ""mấy ngày nay"", ""label"": ""DURATION"", ""start"": 23, ""end"": 35}]"""
"""mệt mỏi kèm theo đau lưng mãn tính từ 2 tuần""","""[{""text"": ""mệt mỏi"", ""label"": ""SYMPTOM"", ""start"": 0, ""end"": 7}, {""text"": ""mệt mỏi"", ""label"": ""SYMPTOM"", ""start"": 0, ""end"": 7}, {""text"": ""đau lưng mãn tính"", ""label"": ""SYMPTOM"", ""start"": 17, ""end"": 34}, {""text"": ""đau lưng mãn tính"", ""label"": ""SYMPTOM"", ""start"": 17, ""end"": 34}, {""text"": ""2 tuần"", ""label"": ""DURATION"", ""start"": 38, ""end"": 44}]"""
"""Tôi 50 năm tuổi bị khàn tiếng""","""[{""text"": ""50 năm tuổi"", ""label"": ""AGE"", ""start"": 4, ""end"": 15}, {""text"": ""khàn tiếng"", ""label"": ""SYMPTOM"", ""start"": 19, ""end"": 29}]"""
"""Bị tim đập nhanh từ từ hôm qua""","""[{""text"": ""tim đập nhanh"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 16}, {""text"": ""từ hôm qua"", ""label"": ""DURATION"", ""start"": 20, ""end"": 30}]"""
"""Ông ấy 1 tháng tuổi bị đột quỵ não""","""[{""text"": ""1 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 19}, {""text"": ""đột quỵ não"", ""label"": ""DISEASE"", ""start"": 23, ""end"": 34}]"""
"""Ông ấy 65 năm tuổi bị viêm họng""","""[{""text"": ""65 năm tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 18}, {""text"": ""viêm họng"", ""label"": ""DISEASE"", ""start"": 22, ""end"": 31}]"""
"""Ông ấy 65 năm tuổi bị bệnh parkinson""","""[{""text"": ""65 năm tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 18}, {""text"": ""bệnh parkinson"", ""label"": ""DISEASE"", ""start"": 22, ""end"": 36}]"""
"""Ông ấy 15 tháng tuổi bị tiểu đường cần cấp cứu""","""[{""text"": ""15 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 20}, {""text"": ""tiểu đường"", ""label"": ""DISEASE"", ""start"": 24, ""end"": 34}, {""text"": ""cấp cứu"", ""label"": ""URGENCY"", ""start"": 39, ""end"": 46}]"""
"""Bệnh nhân 75 tháng tuổi bị bệnh tim bẩm sinh cần dùng losartan""","""[{""text"": ""75 tháng tuổi"", ""label"": ""AGE"", ""start"": 10, ""end"": 23}, {""text"": ""bệnh tim bẩm sinh"", ""label"": ""DISEASE"", ""start"": 27, ""end"": 44}, {""text"": ""losartan"", ""label"": ""MEDICATION"", ""start"": 54, ""end"": 62}]"""
"""Sử dụng furosemide 1 viên sau ăn""","""[{""text"": ""furosemide"", ""label"": ""MEDICATION"", ""start"": 8, ""end"": 18}, {""text"": ""1 viên"", ""label"": ""DOSAGE"", ""start"": 19, ""end"": 25}, {""text"": ""sau ăn"", ""label"": ""TIMING"", ""start"": 26, ""end"": 32}]"""
"""Dùng azithromycin 1 viên ba lần một ngày""","""[{""text"": ""azithromycin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 17}, {""text"": ""1 viên"", ""label"": ""DOSAGE"", ""start"": 18, ""end"": 24}, {""text"": ""ba lần một ngày"", ""label"": ""FREQUENCY"", ""start"": 25, ""end"": 40}]"""
"""Bệnh nhân 20 tuổi bị đau dạ dày cần dùng penicillin""","""[{""text"": ""20 tuổi"", ""label"": ""AGE"", ""start"": 10, ""end"": 17}, {""text"": ""đau dạ dày"", ""label"": ""DISEASE"", ""start"": 21, ""end"": 31}, {""text"": ""penicillin"", ""label"": ""MEDICATION"", ""start"": 41, ""end"": 51}]"""
"""Dùng azithromycin 1 gói khi cần thiết""","""[{""text"": ""azithromycin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 17}, {""text"": ""azithromycin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 17}, {""text"": ""1 gói"", ""label"": ""DOSAGE"", ""start"": 18, ""end"": 23}, {""text"": ""khi cần thiết"", ""label"": ""FREQUENCY"", ""start"": 24, ""end"": 37}]"""
"""Thuốc losartan 20mg hai lần một ngày sau ăn""","""[{""text"": ""losartan"", ""label"": ""MEDICATION"", ""start"": 6, ""end"": 14}, {""text"": ""20mg"", ""label"": ""DOSAGE"", ""start"": 15, ""end"": 19}, {""text"": ""hai lần một ngày"", ""label"": ""FREQUENCY"", ""start"": 20, ""end"": 36}, {""text"": ""sau ăn"", ""label"": ""TIMING"", ""start"": 37, ""end"": 43}]"""
"""Ông ấy 6 tháng tuổi bị động kinh cần cần điều trị ngay""","""[{""text"": ""6 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 19}, {""text"": ""động kinh"", ""label"": ""DISEASE"", ""start"": 23, ""end"": 32}, {""text"": ""cần điều trị ngay"", ""label"": ""URGENCY"", ""start"": 37, ""end"": 54}]"""
"""Con tôi 42 tuổi bị mệt mỏi và đau răng""","""[{""text"": ""42 tuổi"", ""label"": ""AGE"", ""start"": 8, ""end"": 15}, {""text"": ""mệt mỏi"", ""label"": ""SYMPTOM"", ""start"": 19, ""end"": 26}, {""text"": ""mệt mỏi"", ""label"": ""SYMPTOM"", ""start"": 19, ""end"": 26}, {""text"": ""đau răng"", ""label"": ""SYMPTOM"", ""start"": 30, ""end"": 38}, {""text"": ""đau răng"", ""label"": ""SYMPTOM"", ""start"": 30, ""end"": 38}]"""
"""Bị chóng mặt ở mũi từ từ sáng đến giờ""","""[{""text"": ""chóng mặt"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 12}, {""text"": ""mũi"", ""label"": ""BODY_PART"", ""start"": 15, ""end"": 18}, {""text"": ""từ sáng đến giờ"", ""label"": ""DURATION"", ""start"": 22, ""end"": 37}]"""
"""Ông ấy 30 tuổi bị loãng xương""","""[{""text"": ""30 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""loãng xương"", ""label"": ""DISEASE"", ""start"": 18, ""end"": 29}]"""
"""Ông ấy 35 năm tuổi bị tăng huyết áp""","""[{""text"": ""35 năm tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 18}, {""text"": ""tăng huyết áp"", ""label"": ""DISEASE"", ""start"": 22, ""end"": 35}]"""
"""Sử dụng tramadol 10 đơn vị trước khi ngủ""","""[{""text"": ""tramadol"", ""label"": ""MEDICATION"", ""start"": 8, ""end"": 16}, {""text"": ""10 đơn vị"", ""label"": ""DOSAGE"", ""start"": 17, ""end"": 26}, {""text"": ""trước khi ngủ"", ""label"": ""TIMING"", ""start"": 27, ""end"": 40}]"""
"""Thuốc omeprazole 2mg 3 lần/ngày buổi sáng""","""[{""text"": ""omeprazole"", ""label"": ""MEDICATION"", ""start"": 6, ""end"": 16}, {""text"": ""2mg"", ""label"": ""DOSAGE"", ""start"": 17, ""end"": 20}, {""text"": ""3 lần/ngày"", ""label"": ""FREQUENCY"", ""start"": 21, ""end"": 31}, {""text"": ""buổi sáng"", ""label"": ""TIMING"", ""start"": 32, ""end"": 41}]"""
"""Uống gabapentin 20 đơn vị để an thần""","""[{""text"": ""gabapentin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 15}, {""text"": ""20 đơn vị"", ""label"": ""DOSAGE"", ""start"": 16, ""end"": 25}, {""text"": ""an thần"", ""label"": ""INDICATION"", ""start"": 29, ""end"": 36}]"""
"""Cô ấy bị đau bụng dưới với losartan và omeprazole""","""[{""text"": ""đau bụng dưới"", ""label"": ""SYMPTOM"", ""start"": 9, ""end"": 22}, {""text"": ""losartan"", ""label"": ""MEDICATION"", ""start"": 27, ""end"": 35}, {""text"": ""losartan"", ""label"": ""MEDICATION"", ""start"": 27, ""end"": 35}, {""text"": ""omeprazole"", ""label"": ""MEDICATION"", ""start"": 39, ""end"": 49}, {""text"": ""omeprazole"", ""label"": ""MEDICATION"", ""start"": 39, ""end"": 49}]"""
"""Sử dụng doxycycline 20 đơn vị trước khi ngủ""","""[{""text"": ""doxycycline"", ""label"": ""MEDICATION"", ""start"": 8, ""end"": 19}, {""text"": ""20 đơn vị"", ""label"": ""DOSAGE"", ""start"": 20, ""end"": 29}, {""text"": ""trước khi ngủ"", ""label"": ""TIMING"", ""start"": 30, ""end"": 43}]"""
"""Chị ấy 25 năm tuổi có thai 6 tháng bị lo âu""","""[{""text"": ""25 năm tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 18}, {""text"": ""có thai 6 tháng"", ""label"": ""CONDITION"", ""start"": 19, ""end"": 34}, {""text"": ""lo âu"", ""label"": ""SYMPTOM"", ""start"": 38, ""end"": 43}]"""
"""Uống aspirin 2 ống để an thần""","""[{""text"": ""aspirin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 12}, {""text"": ""2 ống"", ""label"": ""DOSAGE"", ""start"": 13, ""end"": 18}, {""text"": ""an thần"", ""label"": ""INDICATION"", ""start"": 22, ""end"": 29}]"""
"""Trẻ em 28 tuổi bị phù nề 120/80 mmHg cần hạ sốt""","""[{""text"": ""28 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""phù nề"", ""label"": ""SYMPTOM"", ""start"": 18, ""end"": 24}, {""text"": ""120/80 mmHg"", ""label"": ""MEASUREMENT"", ""start"": 25, ""end"": 36}, {""text"": ""hạ sốt"", ""label"": ""INDICATION"", ""start"": 41, ""end"": 47}]"""
"""Dùng tramadol 10 đơn vị mỗi sáng""","""[{""text"": ""tramadol"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 13}, {""text"": ""10 đơn vị"", ""label"": ""DOSAGE"", ""start"": 14, ""end"": 23}, {""text"": ""mỗi sáng"", ""label"": ""FREQUENCY"", ""start"": 24, ""end"": 32}]"""
